Planet Name,Discovery Method,Discovery Year,Controversial Flag,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Orbit Semi-Major Axis [au],Eccentricity,Equilibrium Temperature [K],Insolation Flux [Earth Flux]
14 Her b,Radial Velocity,2002,0,1765.03890112,12.600,2586.74645,2.773069,0.372689,,
24 Sex b,Radial Velocity,2010,0,452.80000000,13.400,632.46000,1.333000,0.090000,,
24 Sex c,Radial Velocity,2010,0,883.00000000,13.900,273.32000,2.080000,0.290000,,
7 CMa b,Radial Velocity,2011,0,735.10000000,13.400,587.98550,1.758000,0.060000,,
7 CMa c,Radial Velocity,2019,0,996.00000000,13.900,276.51210,2.153000,0.080000,,
AU Mic b,Transit,2020,0,8.46299910,4.070,20.12000,0.064500,0.186000,593,76.64
AU Mic c,Transit,2021,0,18.85899100,3.240,9.60000,0.110100,0.041000,454,
BD+20 2457 b,Radial Velocity,2009,0,379.63000000,11.600,17668.16970,1.050000,0.150000,,
BD+20 2457 c,Radial Velocity,2009,0,621.99000000,12.400,3963.17000,2.010000,0.180000,,
BD-06 1339 b,Radial Velocity,2013,0,3.87280000,2.850,8.50000,0.042800,0.000000,,
BD-06 1339 c,Radial Velocity,2013,0,125.94000000,8.380,53.00000,0.435000,0.310000,,
BD-08 2823 b,Radial Velocity,2009,0,5.60000000,3.610,12.71320,0.060000,0.150000,,
BD-08 2823 c,Radial Velocity,2009,0,237.60000000,12.500,104.00000,0.680000,0.190000,,
BD-11 4672 b,Radial Velocity,2014,0,1634.00000000,14.100,206.58950,2.360000,0.050000,,
BD-11 4672 c,Radial Velocity,2020,0,74.20000000,4.040,15.37000,0.300000,0.400000,,
CoRoT-20 b,Transit,2011,0,9.24285000,9.416,1366.66900,0.090000,0.590000,1024,180.87
CoRoT-20 c,Radial Velocity,2018,0,1675.00000000,12.200,5403.11000,2.900000,0.600000,,
CoRoT-24 b,Transit,2014,0,5.11340000,3.700,5.70000,0.056000,0.000000,1070,
CoRoT-24 c,Transit,2014,0,11.75900000,5.000,28.00000,0.098000,0.000000,850,
EPIC 201615463 c,Transit,2019,0,3.80464000,1.220,1.98000,,,,
EPIC 201833600 c,Transit,2019,0,3.96151000,1.000,0.97200,,,,
EPIC 205950854 c,Transit,2019,0,8.05072200,1.310,2.27000,,,961,
EPIC 206042996 b,Transit,2019,0,5.29860000,1.700,3.53000,,,,
EPIC 206042996 c,Transit,2021,0,0.35488400,1.200,1.87000,,,,
EPIC 206317286 b,Transit,2019,0,1.58252000,0.960,0.84000,,,,
EPIC 206317286 c,Transit,2022,0,17.51547200,2.094,5.03000,,,,
EPIC 212297394 b,Transit,2019,0,2.28936300,1.480,2.79000,,,1149,
EPIC 212297394 c,Transit,2016,0,5.21396500,2.270,5.77000,,,866,
EPIC 212587672 b,Transit,2019,0,15.28078000,1.260,2.13000,,,756,
EPIC 212587672 c,Transit,2016,0,23.22855500,2.320,5.99000,,,658,
EPIC 212624936 b,Transit,2021,0,0.57865700,1.200,1.87000,,,,
EPIC 212624936 c,Transit,2021,0,11.81143700,2.300,5.90000,,,,
EPIC 212737443 b,Transit,2019,0,13.60300000,2.586,7.20000,0.098000,0.200000,536,
EPIC 212737443 c,Transit,2019,0,65.55000000,2.690,7.70000,0.280000,0.200000,316,
EPIC 220554210 c,Transit,2019,0,0.70531000,1.600,3.19000,,,,
EPIC 220674823 b,Transit,2016,0,0.57121200,1.600,7.72000,0.013120,0.000000,2119,4293.00
EPIC 220674823 c,Transit,2016,0,13.33461500,2.200,5.80000,0.109100,0.180000,741,64.00
G 264-012 b,Radial Velocity,2021,0,2.30538000,1.390,2.50000,0.022790,,587,20.50
G 264-012 c,Radial Velocity,2021,0,8.05180000,1.760,3.75000,0.052500,,387,3.87
GJ 1132 b,Transit,2015,0,1.62893100,1.130,1.66000,0.015300,0.220000,529,20.96
GJ 1132 c,Radial Velocity,2018,0,8.92900000,1.430,2.64000,0.047600,0.270000,300,
GJ 1148 b,Radial Velocity,2010,0,41.38000000,11.900,96.70000,0.166000,0.380000,,
GJ 1148 c,Radial Velocity,2017,0,532.58000000,9.710,68.06000,0.912000,0.342000,,
GJ 143 b,Transit,2019,0,35.61253000,2.610,22.70000,0.191500,0.188000,422,5.62
GJ 15 A b,Radial Velocity,2014,1,11.44070000,1.550,3.03000,0.072000,0.094000,550,
GJ 15 A c,Radial Velocity,2018,0,7600.00000000,6.670,36.00000,5.400000,0.270000,,
GJ 2030 b,Radial Velocity,2022,0,2.38128933,1.980,4.59248,0.034411,0.239302,,
GJ 2030 c,Radial Velocity,2022,0,25533.11353048,12.300,4067.84698,16.763449,0.040554,,
GJ 229 A c,Radial Velocity,2020,0,121.93267601,2.870,8.57613,0.384214,0.365639,,
GJ 229 b,Radial Velocity,2014,0,579.47494672,3.960,14.85045,1.086215,0.403522,,
GJ 273 b,Radial Velocity,2017,0,18.64980000,1.510,2.89000,0.091101,0.100000,,1.06
GJ 273 c,Radial Velocity,2017,0,4.72340000,1.060,1.18000,0.036467,0.170000,,6.66
GJ 317 b,Radial Velocity,2007,0,695.66000000,13.300,794.50000,1.151000,0.070000,,
GJ 317 c,Radial Velocity,2018,0,6739.32300000,13.500,522.50000,5.230000,0.170000,,
GJ 3323 b,Radial Velocity,2017,0,5.36360000,1.230,2.02000,0.032820,0.230000,,2.58
GJ 3323 c,Radial Velocity,2017,0,40.54000000,1.320,2.31000,0.126400,0.170000,,0.17
GJ 3473 b,Transit,2020,0,1.19800350,1.264,1.86000,0.015890,0.000000,773,59.40
GJ 3473 c,Radial Velocity,2020,0,15.50900000,2.630,7.41000,0.087600,0.000000,329,1.95
GJ 3512 b,Radial Velocity,2019,0,203.69000000,14.300,146.20107,0.337000,0.440000,,
GJ 3512 c,Radial Velocity,2020,0,1599.60000000,9.320,63.56568,1.292000,0.018300,,
GJ 3929 b,Transit,2022,0,2.61623500,1.090,1.75000,0.025200,0.000000,568,17.30
GJ 3929 c,Radial Velocity,2022,0,15.04000000,2.260,5.71000,0.081000,0.000000,317,1.68
GJ 3998 b,Radial Velocity,2016,0,2.64977000,1.380,2.47000,0.029000,0.000000,,
GJ 3998 c,Radial Velocity,2016,0,13.74000000,2.380,6.26000,0.089000,0.049000,,
GJ 411 b,Radial Velocity,2019,0,12.93940000,1.450,2.69000,0.078790,0.063000,350,3.13
GJ 414 A b,Radial Velocity,2021,0,50.80000000,2.630,7.60000,0.232400,0.450000,309,
GJ 414 A c,Radial Velocity,2021,0,749.83000000,8.400,53.83000,1.400000,0.105000,125,
GJ 682 b,Radial Velocity,2014,0,17.47800000,1.930,4.40000,0.080000,0.080000,,
GJ 682 c,Radial Velocity,2014,0,57.32000000,2.890,8.70000,0.176000,0.100000,,
GJ 687 b,Radial Velocity,2014,0,38.14200000,4.320,17.20000,0.163000,0.170000,,
GJ 687 c,Radial Velocity,2020,0,727.56200000,4.140,16.00000,1.165000,0.400000,,
GJ 849 b,Radial Velocity,2006,0,1915.00000000,13.900,286.04557,2.409000,0.038000,,
GJ 849 c,Radial Velocity,2014,0,7068.00000000,14.000,223.11554,4.974000,0.099000,,
GJ 887 b,Radial Velocity,2020,0,9.26200000,1.880,4.20000,0.068000,0.000000,468,7.95
GJ 887 c,Radial Velocity,2020,0,21.78900000,2.670,7.60000,0.120000,,352,2.56
HAT-P-11 b,Transit,2008,0,4.88780244,4.360,26.69772,0.052540,0.218000,838,100.77
HAT-P-11 c,Radial Velocity,2018,0,3407.00000000,13.300,731.00900,4.130000,0.601000,,
HAT-P-13 b,Transit,2009,0,2.91625000,14.258,270.46200,0.043830,0.013300,1740,1978.52
HAT-P-13 c,Radial Velocity,2009,0,446.27000000,12.300,4538.42100,1.258000,0.661600,340,
HAT-P-17 b,Transit,2010,0,10.33852000,11.769,184.34140,0.088200,0.350000,792,62.59
HAT-P-17 c,Radial Velocity,2010,0,5584.00000000,13.100,1080.60000,5.600000,0.390000,,
HAT-P-44 b,Transit,2014,0,4.30121900,13.922,111.87100,0.050700,0.044000,1108,185.12
HAT-P-44 c,Radial Velocity,2014,0,872.20000000,13.000,1271.30000,1.752000,0.494000,,
HATS-59 b,Transit,2018,0,5.41608100,12.621,256.17098,0.061120,0.129000,1128,269.00
HATS-59 c,Radial Velocity,2018,0,1422.00000000,12.300,4036.44100,2.504000,0.083000,176,0.16
HD 102329 b,Radial Velocity,2011,0,778.09998000,12.600,2593.49280,1.810000,0.210000,,
HD 102329 c,Radial Velocity,2018,0,1123.00000000,13.500,483.10160,,0.209000,,
HD 105618 b,Radial Velocity,2022,0,10.02244605,5.400,25.14472,0.091240,0.454676,,
HD 105618 c,Radial Velocity,2022,0,77114.07157859,11.900,8550.26928,35.747028,0.126319,,
HD 106315 b,Transit,2017,0,9.55237000,2.440,12.60000,0.090700,0.093000,1153,240.00
HD 106315 c,Transit,2017,0,21.05704000,4.350,15.20000,0.153600,0.220000,886,83.00
HD 107148 b,Radial Velocity,2005,0,48.05600000,9.600,66.74100,0.269000,0.050000,,
HD 107148 c,Radial Velocity,2021,0,18.32670000,4.700,19.89606,0.140700,0.340000,,
HD 108874 b,Radial Velocity,2002,0,394.48123000,13.600,451.31860,1.040000,0.130000,,
HD 108874 c,Radial Velocity,2005,0,1624.00000000,13.800,314.64000,2.659000,0.239000,,
HD 109271 b,Radial Velocity,2013,0,7.85430000,4.310,17.16200,0.079000,0.250000,,
HD 109271 c,Radial Velocity,2013,0,30.93000000,5.270,24.15400,0.196000,0.150000,,
HD 110113 b,Transit,2021,0,2.54100000,2.050,4.55000,0.035000,0.093000,1371,735.49
HD 110113 c,Radial Velocity,2021,0,6.74400000,3.230,10.50000,0.068000,0.045000,990,199.90
HD 111232 b,Radial Velocity,2003,0,1169.13201636,12.600,2626.80240,2.147271,0.213617,,
HD 111232 c,Radial Velocity,2022,0,26472.44622716,12.100,6085.55500,17.205919,0.558246,,
HD 113337 b,Radial Velocity,2013,0,317.58638571,13.100,1032.00909,1.021796,0.279903,,
HD 113337 c,Radial Velocity,2022,0,5429.93477336,12.100,6268.96682,6.828140,0.164097,,
HD 11343 c,Radial Velocity,2022,0,228.53731482,13.900,253.39075,0.922152,0.168579,,
HD 113538 b,Radial Velocity,2010,0,663.20000000,13.200,114.41000,1.240000,0.140000,,
HD 113538 c,Radial Velocity,2010,0,1818.00000000,13.800,295.57000,2.440000,0.200000,,
HD 114783 b,Radial Velocity,2001,0,493.70000000,13.700,349.60000,1.160000,0.144000,,
HD 114783 c,Radial Velocity,2018,0,4319.00000000,14.100,194.19413,4.970000,0.000000,,
