Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
14 Her,K0V,5314.94,1.00,0.91,-0.151,4.43,5.240
24 Sex,K0 IV,5098.00,4.90,1.54,1.164,3.50,2.700
7 CMa,K1III(+M),4826.00,4.87,1.34,1.063,3.19,4.300
AU Mic,M1,3700.00,0.75,0.50,-1.046,4.39,0.022
BD+20 2457,K2 II,4137.00,49.00,2.80,3.170,1.51,
BD-06 1339,K7/M0 V,4324.00,0.69,0.70,-1.022,4.74,4.400
BD-08 2823,K3 V,4746.00,0.72,0.74,-0.626,4.13,4.500
BD-11 4672,K7V,4550.00,0.64,0.65,-0.804,4.64,7.400
CoRoT-20,G2 V,4947.50,1.37,1.14,0.006,4.35,0.100
CoRoT-24,K1 V,4950.00,0.86,0.91,-0.601,4.55,11.000
K2-166,,5960.00,1.61,1.16,0.458,4.09,
K2-50,,4326.00,0.55,0.61,-0.874,4.74,
K2-168,,5502.70,0.83,0.88,-0.176,4.46,
EPIC 206042996,,4114.00,0.50,0.57,-0.980,4.80,
EPIC 206317286,,4752.00,0.76,0.83,-0.593,4.60,
EPIC 212297394,,5171.00,0.80,0.83,-0.467,4.55,
EPIC 212587672,,6004.00,0.98,0.99,0.038,4.45,
EPIC 212624936,,5765.00,0.93,1.00,-0.124,4.40,
EPIC 212737443,K3,4684.00,0.67,0.69,-0.804,4.62,
K2-282,,5499.00,1.00,0.95,-0.215,4.50,
EPIC 220674823,G5 V,5613.00,0.95,0.93,-0.119,4.60,5.000
G 264-012,M4.0 V,3326.00,0.30,0.30,-1.972,4.85,
GJ 1132,M4.5 V,3270.00,0.21,0.18,-2.359,5.02,5.000
GJ 1148,M5,3287.00,0.36,0.34,-1.869,4.87,
GJ 143,K4.5,4640.00,0.70,0.73,-0.686,4.61,3.800
GJ 15 A,M1,3607.00,0.38,0.38,-1.655,4.87,
GJ 2030,,5485.00,2.24,0.96,0.612,3.72,
GJ 229,M1/M2 V,3564.00,0.46,0.51,-1.553,4.69,0.400
GJ 273,M3.5,3382.00,0.29,0.29,-2.056,4.91,
GJ 317,M2.5 V,3492.73,0.43,0.42,-1.687,4.82,5.000
GJ 3323,M4,3159.00,0.12,0.16,-2.569,,
GJ 3473,M4,3347.00,0.36,0.36,-1.824,4.81,
GJ 3512,M5.5 V,3081.00,0.14,0.12,-2.804,5.16,5.500
GJ 3929,M3.5 V,3384.00,0.32,0.31,-1.963,4.89,7.100
GJ 3998,M1,3722.00,0.49,0.50,-1.387,4.77,
GJ 411,M1.5 V,3719.00,0.37,0.39,-1.710,4.90,8.047
GJ 414 A,K7 V,4120.00,0.68,0.65,-0.924,4.65,12.400
GJ 682,M3.5 V,3028.00,0.30,0.27,-2.699,4.93,
GJ 687,M3.0V,3413.00,0.42,0.40,-1.672,4.82,
GJ 849,M3.5,3562.68,0.47,0.49,-1.583,4.79,3.000
GJ 887,M1 V,3688.00,0.47,0.49,-1.434,4.78,2.880
HAT-P-11,K4,4780.00,0.68,0.81,-0.564,4.66,6.500
HAT-P-13,G4,5653.00,1.76,1.32,0.346,4.13,5.000
HAT-P-17,K,5336.96,0.84,0.92,-0.289,4.55,7.800
HAT-P-44,,5295.00,0.95,0.94,-0.194,4.46,7.500
HATS-59,,5670.00,1.04,1.04,-0.004,4.42,4.300
HD 102329,K0 III,4830.00,6.30,1.30,1.585,3.00,1.600
HD 105618,,5671.00,1.27,1.01,0.180,4.23,
HD 106315,F5 V,6327.00,1.30,1.09,0.395,4.25,4.480
